"id","name","parent"
"03000000-1","Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes",
"03100000-2","Produits agricoles et produits de l'horticulture","03000000-1"
"03110000-5","Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale","03100000-2"
"03111000-2","Graines","03110000-5"
"03111100-3","Graines de soja","03111000-2"
"03111200-4","Graines d'arachide","03111000-2"
"03111300-5","Graines de tournesol","03111000-2"
"03111400-6","Graines de coton","03111000-2"
"03111500-7","Graines de sésame","03111000-2"
"03111600-8","Graines de moutarde","03111000-2"
"03111700-9","Graines de légumes","03111000-2"
"03111800-0","Graines de fruits","03111000-2"
"03111900-1","Graines de fleurs","03111000-2"
"03112000-9","Tabacs non fabriqués","03110000-5"
"03113000-6","Plantes utilisées pour la fabrication du sucre","03110000-5"
"03113100-7","Betteraves sucrières","03113000-6"
"03113200-8","Canne à sucre","03113000-6"
"03114000-3","Paille et plantes fourragères","03110000-5"
"03114100-4","Paille","03114000-3"
"03114200-5","Plantes fourragères","03114000-3"
"03115000-0","Matières premières végétales","03110000-5"
"03115100-1","Matières premières végétales destinées à l'industrie textile","03115000-0"
"03115110-4","Coton","03115100-1"
"03115120-7","Jute","03115100-1"
"03115130-0","Lin","03115100-1"
"03116000-7","Caoutchouc naturel, latex naturel et produits connexes","03110000-5"
"03116100-8","Caoutchouc naturel","03116000-7"
"03116200-9","Latex naturel","03116000-7"
"03116300-0","Produits en latex","03116000-7"
"03117000-4","Plantes à usage spécifique","03110000-5"
"03117100-5","Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire","03117000-4"
"03117110-8","Plantes utilisées en parfumerie","03117100-5"
"03117120-1","Plantes utilisées en pharmacie","03117100-5"
"03117130-4","Plantes à usage insecticide","03117100-5"
"03117140-7","Plantes à usage fongicide ou à usage similaire","03117100-5"
"03117200-6","Graines de plantes à usage spécifique","03117000-4"
"03120000-8","Produits horticoles et produits de pépinières","03100000-2"
"03121000-5","Produits horticoles","03120000-8"
"03121100-6","Plantes vivantes, bulbes, racines, boutures et greffons","03121000-5"
"03121200-7","Fleurs coupées","03121000-5"
"03121210-0","Compositions florales","03121200-7"
"03130000-1","Plantes pour boissons et épices","03100000-2"
"03131000-8","Plantes pour boissons","03130000-1"
"03131100-9","Grains de café","03131000-8"
"03131200-0","Théiers","03131000-8"
"03131300-1","Maté","03131000-8"
"03131400-2","Fèves de cacao","03131000-8"
"03132000-5","Épices brutes","03130000-1"
"03140000-4","Produits animaux et produits connexes","03100000-2"
"03141000-1","Sperme de taureau","03140000-4"
"03142000-8","Produits de l'élevage","03140000-4"
"03142100-9","Miel naturel","03142000-8"
"03142200-0","Escargots","03142000-8"
"03142300-1","Produits alimentaires d'origine animale","03142000-8"
"03142400-2","Cires","03142000-8"
"03142500-3","Œufs","03142000-8"
"03143000-5","Produits de la polyculture","03140000-4"
"03144000-2","Fournitures pour l'agriculture","03140000-4"
"03200000-3","Céréales, pommes de terre, légumes, fruits et noix","03000000-1"
"03210000-6","Céréales et pommes de terre","03200000-3"
"03211000-3","Céréales","03210000-6"
"03211100-4","Blé","03211000-3"
"03211110-7","Blé dur","03211100-4"
"03211120-0","Blé tendre","03211100-4"
"03211200-5","Maïs","03211000-3"
"03211300-6","Riz","03211000-3"
"03211400-7","Orge","03211000-3"
"03211500-8","Seigle","03211000-3"
"03211600-9","Avoine","03211000-3"
"03211700-0","Malt","03211000-3"
"03211900-2","Produits à graines","03211000-3"
"03212000-0","Pommes de terre et légumes secs","03210000-6"
"03212100-1","Pommes de terre","03212000-0"
"03212200-2","Légumes secs à cosse et à gousse","03212000-0"
"03212210-5","Légumes secs à cosse","03212200-2"
"03212211-2","Lentilles","03212210-5"
"03212212-9","Pois chiches","03212210-5"
"03212213-6","Pois secs","03212210-5"
"03212220-8","Légumes à gousse","03212200-2"
"03220000-9","Légumes, fruits et noix","03200000-3"
"03221000-6","Légumes","03220000-9"
"03221100-7","Légumes-racines et légumes-tubercules","03221000-6"
"03221110-0","Légumes-racines","03221100-7"
"03221111-7","Betteraves","03221110-0"
"03221112-4","Carottes","03221110-0"
"03221113-1","Oignons","03221110-0"
"03221114-8","Navets","03221110-0"
"03221120-3","Légumes-tubercules","03221100-7"
"03221200-8","Légumes-fruits","03221000-6"
"03221210-1","Haricots","03221200-8"
"03221211-8","Fèves","03221210-1"
"03221212-5","Haricots verts","03221210-1"
"03221213-2","Haricots d'Espagne","03221210-1"
"03221220-4","Pois","03221200-8"
"03221221-1","Petits pois","03221220-4"
"03221222-8","Mange-tout","03221220-4"
"03221230-7","Poivrons","03221200-8"
"03221240-0","Tomates","03221200-8"
"03221250-3","Courgettes","03221200-8"
"03221260-6","Champignons","03221200-8"
"03221270-9","Concombres","03221200-8"
"03221300-9","Légumes à feuilles","03221000-6"
"03221310-2","Laitues","03221300-9"
"03221320-5","Feuilles de salade","03221300-9"
"03221330-8","Artichauts","03221300-9"
"03221340-1","Épinards","03221300-9"
"03221400-0","Choux","03221000-6"
"03221410-3","Choux blancs","03221400-0"
"03221420-6","Choux-fleurs","03221400-0"
"03221430-9","Brocolis","03221400-0"
"03221440-2","Choux de Bruxelles","03221400-0"
"03222000-3","Fruits et fruits à coque","03220000-9"
"03222100-4","Fruits et fruits à coque tropicaux","03222000-3"
"03222110-7","Fruits tropicaux","03222100-4"
"03222111-4","Bananes","03222110-7"
"03222112-1","Ananas","03222110-7"
"03222113-8","Mangues","03222110-7"
"03222114-5","Dattes","03222110-7"
"03222115-2","Raisins secs","03222110-7"
"03222116-9","Figues","03222110-7"
"03222117-6","Avocats","03222110-7"
"03222118-3","Kiwis","03222110-7"
"03222120-0","Noix de coco","03222100-4"
"03222200-5","Agrumes","03222000-3"
"03222210-8","Citrons","03222200-5"
"03222220-1","Oranges","03222200-5"
"03222230-4","Pamplemousses","03222200-5"
"03222240-7","Tangerines","03222200-5"
"03222250-0","Citrons verts","03222200-5"
"03222300-6","Fruits non tropicaux","03222000-3"
"03222310-9","Baies","03222300-6"
"03222311-6","Raisins secs de Corinthe","03222310-9"
"03222312-3","Groseilles à maquereau","03222310-9"
"03222313-0","Fraises","03222310-9"
"03222314-7","Framboises","03222310-9"
"03222315-4","Canneberges","03222310-9"
"03222320-2","Pommes, poires et coings","03222300-6"
"03222321-9","Pommes","03222320-2"
"03222322-6","Poires","03222320-2"
"03222323-3","Coings","03222320-2"
"03222330-5","Fruits à noyau","03222300-6"
"03222331-2","Abricots","03222330-5"
"03222332-9","Pêches","03222330-5"
"03222333-6","Cerises","03222330-5"
"03222334-3","Prunes","03222330-5"
"03222340-8","Raisins","03222300-6"
"03222341-5","Raisins de table","03222340-8"
"03222342-2","Raisins de cuve","03222340-8"
"03222400-7","Olives","03222000-3"
"03300000-2","Produits agricoles, de la chasse et de la pêche","03000000-1"
"03310000-5","Poissons, crustacés et produits aquatiques","03300000-2"
"03311000-2","Poissons","03310000-5"
"03311100-3","Poissons plats","03311000-2"
"03311110-6","Sole","03311100-3"
"03311120-9","Plie","03311100-3"
"03311200-4","Poissons de la famille des gatidés","03311000-2"
"03311210-7","Morue","03311200-4"
"03311220-0","Lieu","03311200-4"
"03311230-3","Merlu","03311200-4"
"03311240-6","Haddock","03311200-4"
"03311300-5","Hareng","03311000-2"
"03311400-6","Thon","03311000-2"
"03311500-7","Merlan","03311000-2"
"03311600-8","Blanquet","03311000-2"
"03311700-9","Saumon","03311000-2"
"03312000-9","Crustacés","03310000-5"
"03312100-0","Huîtres","03312000-9"
"03312200-1","Coquillages","03312000-9"
"03312300-2","Invertébrés aquatiques","03312000-9"
"03313000-6","Produits aquatiques","03310000-5"
"03313100-7","Corail ou produits similaires","03313000-6"
"03313200-8","Éponges naturelles","03313000-6"
"03313300-9","Algues marines","03313000-6"
"03313310-2","Algues","03313300-9"
"03320000-8","Bétail, cheptel et petits animaux","03300000-2"
"03321000-5","Bétail","03320000-8"
"03321100-6","Bovins","03321000-5"
"03321200-7","Veaux","03321000-5"
"03322000-2","Cheptel","03320000-8"
"03322100-3","Moutons","03322000-2"
"03322200-4","Chèvres","03322000-2"
"03322300-5","Chevaux","03322000-2"
"03323000-9","Suidés","03320000-8"
"03324000-6","Volaille vivante","03320000-8"
"03325000-3","Petits animaux","03320000-8"
"03325100-4","Lapins","03325000-3"
"03325200-5","Lièvres","03325000-3"
"03330000-3","Produits des animaux d'élévage","03300000-2"
"03331000-0","Lait frais de brebis et de chèvre","03330000-3"
"03331100-1","Lait de brebis","03331000-0"
"03331200-2","Lait de chèvre","03331000-0"
"03332000-7","Laine et poils","03330000-3"
"03332100-8","Laine de tonte","03332000-7"
"03332200-9","Poil","03332000-7"
"03333000-4","Lait de vache frais","03330000-3"
"03340000-6","Marques auriculaires pour animaux","03300000-2"
"03341000-3","Marques auriculaires pour bovins","03340000-6"
"03400000-4","Produits de la sylviculture et de l'exploitation forestière","03000000-1"
"03410000-7","Bois","03400000-4"
"03411000-4","Bois de conifères","03410000-7"
"03412000-1","Bois tropical","03410000-7"
"03413000-8","Bois de chauffage","03410000-7"
"03414000-5","Bois brut","03410000-7"
"03415000-2","Bois tendre","03410000-7"
"03416000-9","Chutes de bois","03410000-7"
"03417000-6","Copeaux de bois","03410000-7"
"03417100-7","Sciure de bois","03417000-6"
"03418000-3","Grumes","03410000-7"
"03418100-4","Bois dur","03418000-3"
"03419000-0","Bois d'œuvre","03410000-7"
"03419100-1","Produits du bois","03419000-0"
"03419200-2","Bois de mine","03419000-0"
"03420000-0","Gommes","03400000-4"
"03421000-7","Baumes","03420000-0"
"03422000-4","Laque","03420000-0"
"03430000-3","Liège","03400000-4"
"03431000-0","Liège naturel","03430000-3"
"03432000-7","Vannerie","03430000-3"
"03432100-8","Sparterie","03432000-7"
"03440000-6","Produits de la sylviculture","03400000-4"
"03441000-3","Plantes, graminées, mousses ou lichens d'ornement","03440000-6"
"03450000-9","Produits de pépinière","03400000-4"
"03451000-6","Plantes","03450000-9"
"03451100-7","Plantes à repiquer","03451000-6"
"03451200-8","Bulbes de fleurs","03451000-6"
"03451300-9","Arbustes","03451000-6"
"03452000-3","Arbres","03450000-9"
"03460000-2","Pâte à papier","03400000-4"
"03461000-9","Pâte de bois","03460000-2"
"03461100-0","Pâte de bois chimique","03461000-9"
"09000000-3","Produits pétroliers, combustibles, électricité et autres sources d'énergie",
"09100000-0","Combustibles","09000000-3"
"09110000-3","Combustibles solides","09100000-0"
"09111000-0","Charbon et combustibles à base de charbon","09110000-3"
"09111100-1","Charbon","09111000-0"
"09111200-2","Combustibles dérivés du charbon","09111000-0"
"09111210-5","Charbon maigre","09111200-2"
"09111220-8","Briquettes","09111200-2"
"09111300-3","Combustibles fossiles","09111000-0"
"09111400-4","Combustibles à base de bois","09111000-0"
"09112000-7","Lignite et tourbe","09110000-3"
"09112100-8","Lignite","09112000-7"
"09112200-9","Tourbe","09112000-7"
"09113000-4","Coke","09110000-3"
"09120000-6","Combustibles gazeux","09100000-0"
"09121000-3","Gaz de houille, gaz de ville ou gaz similaires","09120000-6"
"09121100-4","Gaz de houille ou gaz similaires","09121000-3"
"09121200-5","Gaz de ville","09121000-3"
"09122000-0","Propane et butane","09120000-6"
"09122100-1","Gaz propane","09122000-0"
"09122110-4","Propane liquéfié","09122100-1"
"09122200-2","Gaz butane","09122000-0"
"09122210-5","Butane liquéfié","09122200-2"
"09123000-7","Gaz naturel","09120000-6"
"09130000-9","Pétrole et distillats","09100000-0"
"09131000-6","Kérosène aviation","09130000-9"
"09131100-7","Carburéacteurs de type kérosène","09131000-6"
"09132000-3","Essence","09130000-9"
"09132100-4","Essence sans plomb","09132000-3"
"09132200-5","Essence au plomb","09132000-3"
"09132300-6","Essence à l'éthanol","09132000-3"
"09133000-0","Gaz de pétrole liquéfié (LPG)","09130000-9"
"09134000-7","Gasoils","09130000-9"
"09134100-8","Huile diesel","09134000-7"
"09134200-9","Carburant diesel","09134000-7"
"09134210-2","Carburant diesel (02)","09134200-9"
"09134220-5","Carburant diesel (EN 590)","09134200-9"
"09134230-8","Biodiesel","09134200-9"
"09134231-5","Biodiesel (B20)","09134230-8"
"09134232-2","Biodiesel (B100)","09134230-8"
"09135000-4","Mazout","09130000-9"
"09135100-5","Fioul domestique","09135000-4"
"09135110-8","Huiles combustibles à basse teneur en soufre","09135100-5"
"09200000-1","Produits pétroliers, charbon et huiles","09000000-3"
"09210000-4","Préparations lubrifiantes","09200000-1"
"09211000-1","Huiles lubrifiantes et agents lubrifiants","09210000-4"
"09211100-2","Huiles pour moteurs","09211000-1"
"09211200-3","Huiles pour compresseurs","09211000-1"
"09211300-4","Huiles pour turbines","09211000-1"
"09211400-5","Huiles pour engrenages","09211000-1"
"09211500-6","Huiles pour réducteurs","09211000-1"
"09211600-7","Huiles destinées aux systèmes hydrauliques et à d'autres usages","09211000-1"
"09211610-0","Liquides à usage hydraulique","09211600-7"
"09211620-3","Huiles de démoulage","09211600-7"
"09211630-6","Huiles anticorrosives","09211600-7"
"09211640-9","Huiles utilisées comme isolants électriques","09211600-7"
"09211650-2","Liquides de frein","09211600-7"
"09211700-8","Huiles blanches et paraffines liquides","09211000-1"
"09211710-1","Huiles blanches","09211700-8"
"09211720-4","Paraffines liquides","09211700-8"
"09211800-9","Huiles minérales et préparations dérivées du pétrole","09211000-1"
"09211810-2","Huiles légères","09211800-9"
"09211820-5","Huiles minérales","09211800-9"
"09211900-0","Huiles lubrifiantes pour traction","09211000-1"
"09220000-7","Vaseline, cires de pétrole et essences spéciales","09200000-1"
"09221000-4","Vaseline et cire de pétrole","09220000-7"
"09221100-5","Vaseline","09221000-4"
"09221200-6","Paraffine","09221000-4"
"09221300-7","Cire de pétrole","09221000-4"
"09221400-8","Résidus de pétrole","09221000-4"
"09222000-1","Essences spéciales","09220000-7"
"09222100-2","White-spirit","09222000-1"
"09230000-0","Pétrole (brut)","09200000-1"
"09240000-3","Huile et produits dérivés du charbon","09200000-1"
"09241000-0","Schiste bitumineux ou kérobitumeux","09240000-3"
"09242000-7","Produits dérivés du charbon","09240000-3"
"09242100-8","Huile lourde de houille","09242000-7"
"09300000-2","Électricité, chauffage, énergie solaire et nucléaire","09000000-3"
"09310000-5","Électricité","09300000-2"
"09320000-8","Vapeur, eau chaude et produits connexes","09300000-2"
"09321000-5","Eau chaude","09320000-8"
"09322000-2","Vapeur","09320000-8"
"09323000-9","Chauffage urbain","09320000-8"
"09324000-6","Chauffage fourni à grande distance","09320000-8"
"09330000-1","Énergie solaire","09300000-2"
"09331000-8","Panneaux solaires","09330000-1"
"09331100-9","Capteurs solaires pour la production de chaleur","09331000-8"
